,Group,Sample_ID_Prefix,Basin_Code,Stream_code,GMU,Basin,Creek,Genetic.Year,Descriptor,N,Watterson.s.theta..4Nu.,Tajima.s.theta..4Nu.,Theta.deviation,Mean.theta,Het.Ho,He.HoStDev,X..hybrid,Hyb.Notes,PVA.Extinction,PVA.Ext.L95,PVA.Ext.U95,PVA.Abundance.2.5,PVA.Abundance.50,PVA.Abund.Year,X,Y,geometry,
42,bamlist2_SFH_LEE_2016,SFH_LEE_2016,SFH,str_LEE,Eastern,South Fork Humboldt,Lee,2016,isolated,12,0.000352552,0.000222788,-0.451087458,0.00028767,NA,NA,0.61,,12.50%,11.60%,13.70%,214,705,1998,-115.5377513,40.60644704,c(-115.537751277951, 40.6064470420336)
43,bamlist2_SFH_LNG_2012,SFH_LNG_2012,SFH,str_LNG,Eastern,South Fork Humboldt,Long Canyon,2012,isolated,5,0.000224161,0.000235518,0.049416373,0.00022984,NA,NA,0,,2.10%,1.30%,2.60%,345,972,2012,-115.4486192,40.52561367,c(-115.448619212509, 40.5256136733147)
44,bamlist2_SFH_NFG_2009,SFH_NFG_2009,SFH,str_NFG,Eastern,South Fork Humboldt,North Fork Green,2009,isolated,8,0.000139915,0.000144463,0.031989094,0.000142189,NA,NA,0,,18.70%,17.80%,19.30%,0,25,2001,-115.5419132,40.36544808,c(-115.54191317235, 40.3654480803071)
45,bamlist2_SFH_PEC_2018,SFH_PEC_2018,SFH,str_PEC,Eastern,South Fork Humboldt,Pearl,2018,isolated,19,0.000336798,0.000270334,-0.218945316,0.000303566,NA,NA,0.1,,5.70%,4.70%,6.60%,651,1272,2006,-115.5997433,40.28788495,c(-115.599743286309, 40.2878849525341)
46,bamlist2_QUI_CMC_2016,QUI_CMC_2016,QUI,str_CMC,NorthWestern,Black Rock,Colman,2016,isolated,18,0.000265238,0.000160939,-0.489465356,0.000213088,NA,NA,0.04,,5.60%,5.10%,7.60%,521,1144,2008,-118.989298,41.45084482,c(-118.989298012757, 41.4508448241299)
47,bamlist2_SUM_MOH_2013,SUM_MOH_2013,SUM,str_MOH,NorthWestern,Black Rock,Mahogany,2013,isolated,15,0.000422848,0.000334986,-0.231877241,0.000378917,NA,NA,0.62,,NA,NA,NA,NA,NA,NA,-118.9949053,41.53179079,c(-118.994905334274, 41.5317907906299)
48,bamlist2_WWH_WHO_2011,WWH_WHO_2011,WWH,str_WHO,NorthWestern,Coyote Lake,Whitehorse,2011,isolated,9,0.000294639,0.000151784,-0.639998743,0.000223211,NA,NA,0.03,,8.10%,7.30%,9.40%,10485,21251,2011,-118.1971596,42.0988868,c(-118.197159572213, 42.0988867955368)
49,bamlist2_WWH_WIL_1996,WWH_WIL_1996,WWH,str_WIL,NorthWestern,Coyote Lake,Willow ,1996,isolated,8,0.000310583,0.000178872,-0.538196626,0.000244727,NA,NA,0.03,,2.30%,1.90%,2.70%,120,1004,2004,-118.2268435,42.11118205,c(-118.226843545255, 42.1111820458194)
50,bamlist2_LHU_ABE_2016,LHU_ABE_2016,LHU,str_ABE,NorthWestern,Little Humboldt,Abel,2016,isolated,19,0.00033113,0.000153789,-0.731424482,0.00024246,0.037600217,0.018077531,0.16,,7.00%,5.60%,8.30%,35,112,2012,-117.6812062,41.44340473,c(-117.681206239119, 41.4434047257985)
51,bamlist2_LHU_INC_2000,LHU_INK_2000,LHU,str_INK,NorthWestern,Little Humboldt,Indian SF,2000,isolated,4,0.000170198,0.000171188,0.005800076,0.000170693,0.051919787,0.022927842,0.12,,9.40%,7.80%,10.80%,1245,2212,2000,-117.5808782,41.64567416,c(-117.580878194645, 41.6456741594788)
52,bamlist2_LHU_INC_2013,LHU_INK_2013,LHU,str_INK,NorthWestern,Little Humboldt,Indian SF,2013,isolated,2,0.000149642,0.000166227,0.105011994,0.000157934,0.037484946,0.000354831,0.08,,9.40%,7.80%,10.80%,1105,2032,2012,-117.5808782,41.64567416,c(-117.580878194645, 41.6456741594788)
53,bamlist2_LHU_INC_2016,LHU_INK_2016,LHU,str_INK,NorthWestern,Little Humboldt,Indian SF,2016,isolated,2,0.00012473,0.000120306,-0.03610195,0.000122518,0.019821769,0.007234956,0,,9.40%,7.80%,10.80%,1105,2032,2012,-117.5808782,41.64567416,c(-117.580878194645, 41.6456741594788)
54,bamlist2_QUI_LON_2011,QUI_LON_2011,QUI,str_LON,NorthWestern,Little Humboldt,Long Canyon,2011,isolated,14,0.000218207,0.000210137,-0.037677726,0.000214172,NA,NA,0.21,,NA,NA,NA,NA,NA,NA,-117.4749724,41.84084764,c(-117.474972397072, 41.8408476425076)
55,bamlist2_QUI_LON_2016,QUI_LON_2016,QUI,str_LON,NorthWestern,Little Humboldt,Long Canyon,2016,isolated,3,0.000342454,0.00032192,-0.061813759,0.000332187,NA,NA,1.03,,NA,NA,NA,NA,NA,NA,-117.4749724,41.84084764,c(-117.474972397072, 41.8408476425076)
56,bamlist2_QUI_AND_2016,QUI_AND_2016,QUI,str_AND,NorthWestern,Quinn,Andorno,2016,isolated,7,0.000210279,0.000173813,-0.189876936,0.000192046,NA,NA,0,,18.90%,17.70%,20.20%,47,164,2007,-117.7413266,41.4404839,c(-117.741326554637, 41.4404839030254)
57,bamlist2_QUI_BAT_2013,QUI_NFB_2013,QUI,str_NFB,NorthWestern,Quinn,North Fork Battle,2013,isolated,8,0.000139273,0.000145337,0.042616919,0.000142305,NA,NA,0.03,,NA,NA,NA,NA,NA,NA,-118.9321662,41.42771647,c(-118.932166216152, 41.4277164731209)
58,bamlist2_QUI_NFB_2016,QUI_NFB_2016,QUI,str_NFB,NorthWestern,Quinn,North Fork Battle,2016,isolated,7,0.000193586,0.000165811,-0.154564646,0.000179698,NA,NA,0,,NA,NA,NA,NA,NA,NA,-118.9321662,41.42771647,c(-118.932166216152, 41.4277164731209)
59,bamlist2_MCD_CCC_2017,MCD_CCC_2017,MCD,str_CCC,NorthWestern,Quinn,Corral Canyon,2017,isolated,10,0.000288291,0.000195293,-0.384617417,0.000241792,0.036520041,0.025205491,0.3,,NA,NA,NA,NA,NA,NA,-118.168164,41.98103961,c(-118.168164042799, 41.981039605044)
60,bamlist2_QUI_FCC_2017,QUI_FCC_2017,QUI,str_FCC,NorthWestern,Quinn,Falls Canyon,2017,isolated,11,0.00066848,0.000565845,-0.166301298,0.000617162,NA,NA,2.56,,NA,NA,NA,NA,NA,NA,-117.727084,41.4985465,c(-117.727083956195, 41.4985465019718)
61,bamlist2_QUI_JCC_2017,QUI_JCC_2017,QUI,str_JCC,NorthWestern,Quinn,Jackson,2017,isolated,15,0.000469433,0.000545428,0.149763842,0.00050743,NA,NA,5.59,,NA,NA,NA,NA,NA,NA,-118.448305,41.30183445,c(-118.448304989987, 41.3018344509473)
62,bamlist2_MCD_LIN_2000,MCD_LIN_2000,MCD,str_LIN,NorthWestern,Quinn,Line Canyon,2000,isolated,9,0.000136176,0.000126252,-0.075638255,0.000131214,0.027960876,0.011449793,0.09,,21.10%,20.40%,23.40%,76,988,2000,-118.1597779,41.99584125,c(-118.159777894793, 41.9958412450255)
63,bamlist2_MCD_LIN_2017,MCD_LIN_2017,MCD,str_LIN,NorthWestern,Quinn,Line Canyon,2017,isolated,6,0.000546936,0.000469454,-0.15246542,0.000508195,0.073031341,0.055320947,2.47,,21.10%,20.40%,23.40%,48,134,2011,-118.1597779,41.99584125,c(-118.159777894793, 41.9958412450255)
64,bamlist2_QUI_WAC_1997,QUI_WAC_1997,QUI,str_WAC,NorthWestern,Quinn,Washburn,1997,isolated,18,0.000308345,0.000201208,-0.420513129,0.000254777,NA,NA,0.28,,14.80%,12.80%,15.90%,157,843,1997,-118.0519192,41.86712216,c(-118.051919229797, 41.8671221629539)
65,bamlist2_QUI_WAC_2016,QUI_WAC_2016,QUI,str_WAC,NorthWestern,Quinn,Washburn,2016,isolated,9,0.000203956,0.000157277,-0.258444017,0.000180616,NA,NA,0,,14.80%,12.80%,15.90%,130,319,2011,-118.0519192,41.86712216,c(-118.051919229797, 41.8671221629539)
66,bamlist2_STE_BGA_2000,STE_BGA_2000,STE,str_BGA,NorthWestern,Steens out of basin,Big Alvord,2000,Out of Basin Transplant,3,6.16E-05,6.81E-05,0.101639741,6.48E-05,NA,NA,0,,NA,NA,NA,NA,NA,NA,-118.5248716,42.63208704,c(-118.524871571882, 42.6320870357503)
67,bamlist2_STE_CWC_2000,STE_CWC_2000,STE,str_CWC,NorthWestern,Steens out of basin,Cottonwood,2000,Out of Basin Transplant,15,0.000111348,8.64E-05,-0.251864348,9.89E-05,NA,NA,0.02,,NA,NA,NA,NA,NA,NA,-118.5110032,42.65318135,c(-118.511003195239, 42.6531813464849)
68,bamlist2_STE_LTA_2000,STE_LTA_2000,STE,str_LTA,NorthWestern,Steens out of basin,Little Alvord,2000,Out of Basin Transplant,3,5.56E-05,5.48E-05,-0.01393679,5.52E-05,NA,NA,0,,NA,NA,NA,NA,NA,NA,-118.541602,42.60283862,c(-118.541601959889, 42.602838617439)
69,bamlist2_STE_MSQ_2000,STE_MSQ_2000,STE,str_MSQ,NorthWestern,Steens out of basin,Mosquito,2000,Out of Basin Transplant,4,7.35E-05,7.13E-05,-0.031151744,7.24E-05,NA,NA,0,,NA,NA,NA,NA,NA,NA,-118.5222745,42.69911241,c(-118.522274452877, 42.6991124110243)
70,bamlist2_STE_PKC_2000,STE_PKC_2000,STE,str_PKC,NorthWestern,Steens out of basin,Pike,2000,Out of Basin Transplant,2,7.43E-05,7.83E-05,0.051595615,7.63E-05,NA,NA,0,,NA,NA,NA,NA,NA,NA,-118.5314667,42.57674166,c(-118.531466729929, 42.5767416599352)
71,bamlist2_CAR_EFC_2017,CAR_EFC_2017,CAR,str_EFC,Western,Carson,East Fork Carson,2017,Out of Basin Transplant,20,0.000230544,0.000246583,0.067235118,0.000238564,NA,NA,0.05,,NA,NA,NA,NA,NA,NA,-119.6698394,38.43740227,c(-119.669839356911, 38.4374022693036)
72,bamlist2_CAR_GOC_2017,CAR_GOC_2017,CAR,str_GOC,Western,Carson,Golden Canyon,2017,Out of Basin Transplant,12,0.000297679,0.000278855,-0.065301883,0.000288267,NA,NA,0.07,,NA,NA,NA,NA,NA,NA,-119.6922036,38.46275773,c(-119.692203556008, 38.4627577309093)
73,bamlist2_CAR_MUR_2017,CAR_MUR_2017,CAR,str_MUR,Western,Carson,Murray Canyon,2017,Out of Basin Transplant,20,0.000188659,0.000198815,0.052425806,0.000193737,NA,NA,0.02,,NA,NA,NA,NA,NA,NA,-119.7007443,38.492627,c(-119.700744263504, 38.4926269971268)
74,bamlist2_CAR_POI_2017,CAR_POI_2017,CAR,str_POI,Western,Carson,Poison Flat,2017,Out of Basin Transplant,20,0.0002996,0.00023618,-0.236737546,0.00026789,NA,NA,0.12,,NA,NA,NA,NA,NA,NA,-119.6352525,38.50120172,c(-119.635252482122, 38.5012017175017)
75,bamlist2_LTR_IPL_2016,LTR_IPL_2016,LTR,str_IPL,Western,Truckee,Independence Lake,2016,Lake/Hybridized,10,0.000329689,0.000298805,-0.098278492,0.000314247,NA,NA,13.17,,NA,NA,NA,NA,NA,NA,-120.3351488,39.42656031,c(-120.335148771, 39.426560310918)
76,bamlist2_TRU_POL_2016,TRU_POL_2016,TRU,str_POL,Western,Truckee,Pole,2016,isolated,20,0.000428243,0.000310752,-0.317973056,0.000369498,NA,NA,0.24,,3.10%,2.20%,4.00%,474,852,2010,-120.2229562,39.23589187,c(-120.222956204804, 39.2358918697534)
77,bamlist2_UPT_MEI_2017,UPT_MEI_2017,UPT,str_MEI,Western,Truckee ,Meiss Meadows,2017,isolated,20,0.000315449,0.000294128,-0.069952295,0.000304788,NA,NA,0.06,,26.50%,25.50%,28.70%,5534,8333,2009,-120.0110652,38.72996021,c(-120.011065207114, 38.7299602066315)
78,bamlist2_WAL_BYD_2015,WAL_BYD_2015,WAL,str_BYD,Western,Walker,By-Day,2015,isolated - original ,58,0.000305524,0.000127714,-0.820839761,0.000216619,NA,NA,0.16,,19.00%,17.60%,20.90%,1624,2690,2009,-119.321361,38.27005807,c(-119.321360991964, 38.2700580689219)
79,bamlist2_WAL_LWF_2015,WAL_LWF_2015,WAL,str_LWF,Western,Walker,Lower Wolf,2015,isolated - founded,10,0.000442458,0.000239692,-0.59448895,0.000341075,NA,NA,0.65,,NA,NA,NA,NA,NA,NA,-119.5696011,38.3653544,c(-119.569601124941, 38.365354403684)
80,bamlist2_WAL_MIL_2015,WAL_MIL_2015,WAL,str_MIL,Western,Walker ,Mill,2015,isolated - founded,28,0.000153508,0.000115716,-0.280747351,0.000134612,NA,NA,0,,NA,NA,NA,NA,NA,NA,-119.4895041,38.46302667,c(-119.489504062223, 38.4630266726356)
81,bamlist2_WAL_MIL_2017,WAL_MIL_2017,WAL,str_MIL,Western,Walker ,Mill,2017,isolated - founded,18,0.000103361,9.85E-05,-0.048643498,0.000100907,NA,NA,0.02,,NA,NA,NA,NA,NA,NA,-119.4895041,38.46302667,c(-119.489504062223, 38.4630266726356)
82,bamlist2_WAL_MPH_2011,WAL_MPH_2011,WAL,str_MPH,Western,Walker ,Murphy,2011,isolated - founded,12,0.000149326,0.00011962,-0.220909827,0.000134473,NA,NA,0,,NA,NA,NA,NA,NA,NA,-119.2574167,38.38061082,c(-119.257416735196, 38.3806108222205)
83,bamlist2_WAL_SIL_2015,WAL_SIL_2015,WAL,str_SIL,Western,Walker ,Silver,2015,isolated - founded,7,0.000112299,9.37E-05,-0.180977569,0.000102981,NA,NA,0,,NA,NA,NA,NA,NA,NA,-119.5507462,38.37906748,c(-119.550746191507, 38.379067475138)
84,bamlist2_WAL_SLK_2015,WAL_SLK_2015,WAL,str_SLK,Western,Walker ,Slinkard,2015,isolated - founded,28,0.000239275,0.000141976,-0.510418584,0.000190626,NA,NA,0.08,,NA,NA,NA,NA,NA,NA,-119.5619846,38.58477088,c(-119.561984591576, 38.5847708768366)
85,bamlist2_WAL_UWF_2015,WAL_UWF_2015,WAL,str_UWF,Western,Walker ,Upper Wolf,2015,isolated - founded,13,0.000462157,0.000244315,-0.616703505,0.000353236,NA,NA,0.73,,NA,NA,NA,NA,NA,NA,-119.5932375,38.35602627,c(-119.593237525092, 38.356026271775)
86,bamlist2_YUB_MAC_2016,YUB_MAC_2016,YUB,str_MAC,Western,Yuba out of basin,Macklin,2016,Out of Basin Transplant,20,0.000280786,0.00025872,-0.081799936,0.000269753,NA,NA,0,,NA,NA,NA,NA,NA,NA,-120.614273,39.51150896,c(-120.614273002989, 39.5115089643847)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1119,,,,,,,,,,,,,,,,,,